bar_code,Family,Genus,species,X,Y,value,variable_id
P228472,Lecythidaceae,Eschweilera,coriacea,59,88,9.307934281330601,11
P146326,Lecythidaceae,Eschweilera,coriacea,58,62,24.99439651745574,1
P146326,Lecythidaceae,Eschweilera,coriacea,58,62,250.66706495594983,2
P146326,Lecythidaceae,Eschweilera,coriacea,58,62,2.177156948361675,3
P146326,Lecythidaceae,Eschweilera,coriacea,58,62,82.25074546518479,9
P146326,Lecythidaceae,Eschweilera,coriacea,58,62,124.70717136646326,10
P146326,Lecythidaceae,Eschweilera,coriacea,58,62,9.694819669618923,11
P253181,Lecythidaceae,Eschweilera,coriacea,18,39,13.554631668300768,1
P253181,Lecythidaceae,Eschweilera,coriacea,18,39,180.43828592988513,2
P253181,Lecythidaceae,Eschweilera,coriacea,18,39,1.5286016081784393,3
P253181,Lecythidaceae,Eschweilera,coriacea,18,39,101.82997584422802,9
P253181,Lecythidaceae,Eschweilera,coriacea,18,39,87.38131346286886,10
P253181,Lecythidaceae,Eschweilera,coriacea,18,39,12.735043549654831,11
P986232,Lecythidaceae,Eschweilera,coriacea,17,37,23.24940858616038,1
P986232,Lecythidaceae,Eschweilera,coriacea,17,37,208.94131846777458,2
P986232,Lecythidaceae,Eschweilera,coriacea,17,37,1.6681268648592666,3
P986232,Lecythidaceae,Eschweilera,coriacea,17,37,79.10311706989394,9
P986232,Lecythidaceae,Eschweilera,coriacea,17,37,50.54919916374145,10
P986232,Lecythidaceae,Eschweilera,coriacea,17,37,10.99105918907806,11
P509354,Lecythidaceae,Eschweilera,coriacea,96,40,22.564681334431743,1
P509354,Lecythidaceae,Eschweilera,coriacea,96,40,225.11447805448265,2
P509354,Lecythidaceae,Eschweilera,coriacea,96,40,1.619481247524712,3
P509354,Lecythidaceae,Eschweilera,coriacea,96,40,74.17574256005594,9
P509354,Lecythidaceae,Eschweilera,coriacea,96,40,93.45093699445445,10
P509354,Lecythidaceae,Eschweilera,coriacea,96,40,9.121693848150418,11
P594230,Lecythidaceae,Eschweilera,coriacea,88,79,22.7939140354978,1
P594230,Lecythidaceae,Eschweilera,coriacea,88,79,209.47546812288599,2
P594230,Lecythidaceae,Eschweilera,coriacea,88,79,2.158443138131735,3
P594230,Lecythidaceae,Eschweilera,coriacea,88,79,69.33413197551545,9
P594230,Lecythidaceae,Eschweilera,coriacea,88,79,83.0252830708236,10
P594230,Lecythidaceae,Eschweilera,coriacea,88,79,9.073305621969281,11
P524452,Lecythidaceae,Eschweilera,coriacea,20,30,14.53466314545938,1
P524452,Lecythidaceae,Eschweilera,coriacea,20,30,199.5696597686158,2
P524452,Lecythidaceae,Eschweilera,coriacea,20,30,1.6459869855063192,3
P524452,Lecythidaceae,Eschweilera,coriacea,20,30,56.14010046852872,9
P524452,Lecythidaceae,Eschweilera,coriacea,20,30,89.55608189132242,10
P524452,Lecythidaceae,Eschweilera,coriacea,20,30,11.664730309344046,11
P860423,Lecythidaceae,Eschweilera,coriacea,26,57,21.826197284597992,1
P860423,Lecythidaceae,Eschweilera,coriacea,26,57,209.96898093093432,2
P860423,Lecythidaceae,Eschweilera,coriacea,26,57,1.8529258934738546,3
P860423,Lecythidaceae,Eschweilera,coriacea,26,57,86.12576334243025,9
P860423,Lecythidaceae,Eschweilera,coriacea,26,57,110.15115778372267,10
P860423,Lecythidaceae,Eschweilera,coriacea,26,57,9.395893221281936,11
P962042,Lecythidaceae,Eschweilera,coriacea,26,88,39.558658249981214,1
P962042,Lecythidaceae,Eschweilera,coriacea,26,88,248.8567754677783,2
P962042,Lecythidaceae,Eschweilera,coriacea,26,88,2.2198685099873776,3
P962042,Lecythidaceae,Eschweilera,coriacea,26,88,91.7066893124985,9
P962042,Lecythidaceae,Eschweilera,coriacea,26,88,89.97003163102733,10
P962042,Lecythidaceae,Eschweilera,coriacea,26,88,8.461650199501992,11
P282710,Lecythidaceae,Eschweilera,coriacea,79,20,36.55759768522797,1
P282710,Lecythidaceae,Eschweilera,coriacea,79,20,221.86384385698048,2
P282710,Lecythidaceae,Eschweilera,coriacea,79,20,2.226538712328732,3
P282710,Lecythidaceae,Eschweilera,coriacea,79,20,91.02329062201417,9
P282710,Lecythidaceae,Eschweilera,coriacea,79,20,54.67125240846747,10
P282710,Lecythidaceae,Eschweilera,coriacea,79,20,10.040283103109104,11
P502381,Lecythidaceae,Eschweilera,coriacea,29.5,8.5,18.05947552256162,1
P502381,Lecythidaceae,Eschweilera,coriacea,29.5,8.5,214.50669456367922,2
P502381,Lecythidaceae,Eschweilera,coriacea,29.5,8.5,1.7889824968009813,3
P502381,Lecythidaceae,Eschweilera,coriacea,29.5,8.5,65.52872843956115,9
P502381,Lecythidaceae,Eschweilera,coriacea,29.5,8.5,50.2161817773901,10
P502381,Lecythidaceae,Eschweilera,coriacea,29.5,8.5,13.091245702945892,11
P798157,Lecythidaceae,Eschweilera,coriacea,42,86,26.233668798830738,1
P798157,Lecythidaceae,Eschweilera,coriacea,42,86,254.35168418729677,2
P798157,Lecythidaceae,Eschweilera,coriacea,42,86,1.8721769064892169,3
P798157,Lecythidaceae,Eschweilera,coriacea,42,86,76.81643286603976,9
P798157,Lecythidaceae,Eschweilera,coriacea,42,86,91.81782307874025,10
P798157,Lecythidaceae,Eschweilera,coriacea,42,86,8.418706636700113,11
P437234,Lecythidaceae,Eschweilera,coriacea,56,22,48.60229418582913,1
P437234,Lecythidaceae,Eschweilera,coriacea,56,22,242.0543628894014,2
P437234,Lecythidaceae,Eschweilera,coriacea,56,22,1.3561865434393388,3
P437234,Lecythidaceae,Eschweilera,coriacea,56,22,86.63546570361073,9
P437234,Lecythidaceae,Eschweilera,coriacea,56,22,85.38687779660388,10
P437234,Lecythidaceae,Eschweilera,coriacea,56,22,8.92532385532974,11
P637320,Lecythidaceae,Eschweilera,coriacea,5,77,34.546463956712955,1
P637320,Lecythidaceae,Eschweilera,coriacea,5,77,221.02717278703477,2
